index,red,green,blue
3,96,13,151
4,144,20,227
5,144,20,227
6,96,13,151
12,114,10,72
13,19,2,12
16,85,8,54
17,95,8,60
18,57,5,36
19,57,5,36
20,95,8,60
21,85,8,54
22,72,10,114
23,24,3,38
25,12,2,19
26,96,13,151
27,108,15,170
28,72,10,114
29,12,2,19
30,48,6,76
31,108,15,170
32,54,8,85
35,54,7,85
36,227,20,144
41,189,17,120
42,76,6,48
43,189,17,120
44,227,20,144
45,227,20,144
46,144,20,227
47,144,20,227
48,48,7,76
49,120,17,189
50,120,17,189
55,144,20,227
56,144,20,227
57,144,20,227
58,48,7,76
59,120,17,189
60,76,6,48
61,189,17,120
62,227,20,144
63,227,20,144
64,85,7,54
67,85,8,54
68,170,15,108
69,76,6,48
70,12,2,19
71,72,10,114
72,72,10,114
73,24,3,38
75,12,2,19
76,96,13,151
77,108,15,170
78,72,10,114
79,12,2,19
82,54,8,85
83,60,8,95
84,151,13,96
90,85,8,54
91,95,8,60
92,57,5,36
93,57,5,36
94,144,20,227
95,144,20,227
96,96,13,151
