index,red,green,blue
3,96,13,151
4,144,20,227
5,144,20,227
6,96,13,151
12,114,10,72
13,19,2,12
16,85,8,54
17,95,8,60
18,57,5,36
19,57,5,36
20,95,8,60
21,85,8,54
22,72,10,114
23,24,3,38
26,24,3,38
27,72,10,114
28,72,10,114
29,12,2,19
30,48,6,76
31,108,15,170
32,54,8,85
34,30,4,47
35,30,4,47
36,189,17,120
37,189,17,120
41,189,17,120
42,76,6,48
43,170,15,108
44,85,8,54
49,120,17,189
50,120,17,189
53,96,13,151
54,144,20,227
55,144,20,227
56,96,13,151
59,120,17,189
60,76,6,48
61,170,15,108
62,85,8,54
63,151,13,96
64,227,20,144
65,227,20,144
66,151,13,96
67,85,8,54
68,170,15,108
69,76,6,48
70,12,2,19
71,72,10,114
72,72,10,114
73,72,10,113
74,132,18,208
75,132,18,208
76,72,10,113
77,72,10,114
78,72,10,114
79,12,2,19
82,54,8,85
83,60,8,95
84,151,13,96
90,85,8,54
91,95,8,60
92,199,17,126
93,199,17,126
94,144,20,227
95,144,20,227
96,96,13,151
